<TICKER>,<PER>,<DATE>,<TIME>,<USD_OPEN>,<USD_HIGH>,<USD_LOW>,<USD_CLOSE>,<USD_VOL>
USDRUB,60,20160217,070000,77.9174000,78.0700000,77.7715000,77.9117000,30
USDRUB,60,20160217,080000,77.9458000,78.0598000,77.5875000,77.8236000,27
USDRUB,60,20160217,090000,77.7950000,78.0700000,77.3954000,77.7745000,80
USDRUB,60,20160217,100000,78.0700000,78.1700000,77.8012000,78.0296000,28
USDRUB,60,20160217,110000,78.0125000,78.1950000,77.5776000,77.6678000,386
USDRUB,60,20160217,120000,77.9588000,78.0450000,77.5875000,77.7150000,199
USDRUB,60,20160217,130000,77.8125000,78.2946000,77.4869000,77.5371000,38510
USDRUB,60,20160217,140000,77.5371000,77.7316000,77.3669000,77.4671000,41867
USDRUB,60,20160217,150000,77.4671000,77.6051000,77.1590000,77.1853000,41950
USDRUB,60,20160217,160000,77.2076000,77.2844000,76.7294000,77.0321000,39179
USDRUB,60,20160217,170000,77.0321000,77.1743000,76.7719000,76.8275000,33097
USDRUB,60,20160217,180000,76.8371000,76.9276000,76.3310000,76.3921000,34064
USDRUB,60,20160217,190000,76.3921000,76.7796000,76.3450000,76.6209000,38316
USDRUB,60,20160217,200000,76.6209000,76.7099000,76.2410000,76.5550000,43989
USDRUB,60,20160217,210000,76.5550000,76.5871000,75.2020000,75.2495000,42273
USDRUB,60,20160217,220000,75.2495000,75.5891000,74.9100000,74.9898000,42328
USDRUB,60,20160217,230000,74.9569000,75.2649000,74.5382000,75.1021000,37479
USDRUB,60,20160218,000000,75.1021000,75.5249000,75.0368000,75.2765000,34288
USDRUB,60,20160218,010000,75.3132000,75.4221000,74.9133000,75.3448000,34747
USDRUB,60,20160218,020000,75.3168000,75.3683000,74.8945000,74.9110000,22136
USDRUB,60,20160218,030000,75.2519000,75.3280000,74.4767000,74.5995000,503
USDRUB,60,20160218,040000,74.9477000,75.3204000,74.5779000,74.7743000,128
USDRUB,60,20160218,050000,75.0538000,75.2949000,74.7433000,74.8541000,32
USDRUB,60,20160218,060000,75.1080000,75.5200000,74.6375000,75.0377000,34
USDRUB,60,20160218,070000,74.7966000,75.2195000,74.6439000,74.7121000,337
USDRUB,60,20160218,080000,75.0003000,75.1579000,74.5697000,74.7793000,374
USDRUB,60,20160218,090000,75.0450000,75.5200000,74.7375000,74.7793000,74
USDRUB,60,20160218,100000,75.0450000,75.2274000,74.5861000,74.9793000,196
USDRUB,60,20160218,110000,75.1544000,75.2615000,74.3305000,74.7371000,242
USDRUB,60,20160218,120000,74.8855000,75.0427000,74.4073000,74.7361000,1033
USDRUB,60,20160218,130000,74.8569000,75.8481000,74.7361000,75.3273000,66264
